0.0000,1.4142,2.8284,3.0000,4.0000,5.3852,6.3246,7.6158,8.0000,9.0000
1.4142,0.0000,1.4142,2.2361,3.1623,4.1231,5.0990,6.3246,7.0711,8.0623
2.8284,1.4142,0.0000,2.2361,2.8284,3.0000,4.0000,5.0990,6.3246,7.2801
3.0000,2.2361,2.2361,0.0000,1.0000,2.8284,3.6056,5.0000,5.0000,6.0000
4.0000,3.1623,2.8284,1.0000,0.0000,2.2361,2.8284,4.2426,4.0000,5.0000
5.3852,4.1231,3.0000,2.8284,2.2361,0.0000,1.0000,2.2361,3.6056,4.4721
6.3246,5.0990,4.0000,3.6056,2.8284,1.0000,0.0000,1.4142,2.8284,3.6056
7.6158,6.3246,5.0990,5.0000,4.2426,2.2361,1.4142,0.0000,3.1623,3.6056
8.0000,7.0711,6.3246,5.0000,4.0000,3.6056,2.8284,3.1623,0.0000,1.0000
9.0000,8.0623,7.2801,6.0000,5.0000,4.4721,3.6056,3.6056,1.0000,0.0000
